Parameter,Group,Unit,CurrentValue,FoundationSource,EvidenceScope,ConfidenceLevel,Notes
V0.SC,vascular_v0,mL,49,derived_from_current_C_and_nominal_pressure,architecture-specific derivation,medium,"Computed from current systemic-capillary compliance and nominal pressure."
V0.SVEN,vascular_v0,mL,450,derived_from_current_C_and_nominal_pressure,architecture-specific derivation,medium,"Computed from current systemic venous compliance and nominal venous pressure."
R.PAR,pulmonary_vascular,mmHg*s/mL,0.01,bozkurt2019_table2,adult vascular baseline,high,"Adult proximal pulmonary arterial resistance."
C.PAR,pulmonary_vascular,mL/mmHg,5,bozkurt2019_table2,adult vascular baseline,high,"Adult proximal pulmonary arterial compliance."
L.PAR,pulmonary_vascular,mmHg*s^2/mL,1e-05,valenti2023_architecture_placeholder,architecture-specific derivation,low,"Small inertance placeholder for the pulmonary arterial flow state."
R.PCOX,pulmonary_capillary_split,mmHg*s/mL,0.063,valenti2023_parallel_capillary_split,architecture-specific derivation,medium,"Pulmonary capillary branch resistance from the Valenti-style parallel split."
C.PCOX,pulmonary_capillary_split,mL/mmHg,0.1983,valenti2023_parallel_capillary_split,architecture-specific derivation,medium,"Pulmonary capillary branch compliance from the current parallel representation."
R.PCNO,pulmonary_capillary_split,mmHg*s/mL,1.264,valenti2023_parallel_capillary_split,architecture-specific derivation,medium,"Pulmonary capillary non-oxygenated branch resistance placeholder preserving the branch ratio."
C.PCNO,pulmonary_capillary_split,mL/mmHg,0.0017,valenti2023_parallel_capillary_split,architecture-specific derivation,medium,"Pulmonary capillary non-oxygenated branch compliance placeholder preserving total capillary compliance."
R.PVEN,pulmonary_vascular,mmHg*s/mL,0.02,local_consistency_correction_from_bozkurt_foundation,local tuning correction,medium,"Pulmonary venous resistance adjusted for the current 14-state architecture."
C.PVEN,pulmonary_vascular,mL/mmHg,13.75,derived_from_nominal_volume_over_pressure,architecture-specific derivation,medium,"Pulmonary venous compliance derived from nominal adult venous volume over pressure."
V0.PAR,vascular_v0,mL,196,derived_from_current_C_and_nominal_pressure,architecture-specific derivation,medium,"Computed from current pulmonary arterial compliance and nominal pressure."
V0.PCOX,vascular_v0,mL,0,pressure_state_placeholder,architecture-specific derivation,low,"Capillary branch uses a pressure-state formulation, so V0 is a placeholder."
V0.PCNO,vascular_v0,mL,0,pressure_state_placeholder,architecture-specific derivation,low,"Capillary branch uses a pressure-state formulation, so V0 is a placeholder."
V0.PVEN,vascular_v0,mL,0,derived_from_nominal_volume_over_pressure,architecture-specific derivation,medium,"Pulmonary venous unstressed volume from nominal adult venous pressure-volume balance."
R.vsd,shunt_reference,mmHg*s/mL,1000000,closed_shunt_numerical_reference,scenario sentinel,high,"Healthy adult reference uses a numerically closed VSD rather than a physiologic defect."
